team_id,team_name,slug,image_url,league,season
2443,FC Lugano,fc-lugano,https://api.sofascore.app/api/v1/team/2443/image,UEFA Champions League,2024/2025
192763,FK Panevėžys,fk-panevezys,https://api.sofascore.app/api/v1/team/192763/image,UEFA Champions League,2024/2025
3301,FCSB,fcsb,https://api.sofascore.app/api/v1/team/3301/image,UEFA Champions League,2024/2025
7691,Jagiellonia Białystok,jagiellonia-bialystok,https://api.sofascore.app/api/v1/team/7691/image,UEFA Champions League,2024/2025
2955,FC Twente,fc-twente,https://api.sofascore.app/api/v1/team/2955/image,UEFA Champions League,2024/2025
5366,FC Ordabasy,fc-ordabasy,https://api.sofascore.app/api/v1/team/5366/image,UEFA Champions League,2024/2025
3361,Dinamo Minsk,dinamo-minsk,https://api.sofascore.app/api/v1/team/3361/image,UEFA Champions League,2024/2025
264619,KF Egnatia,ks-egnatia,https://api.sofascore.app/api/v1/team/264619/image,UEFA Champions League,2024/2025
167232,FC Petrocub Hîncesti,fc-petrocub-hincesti,https://api.sofascore.app/api/v1/team/167232/image,UEFA Champions League,2024/2025
37949,UE Santa Coloma,ue-santa-coloma,https://api.sofascore.app/api/v1/team/37949/image,UEFA Champions League,2024/2025
36261,SS Virtus,ss-virtus,https://api.sofascore.app/api/v1/team/36261/image,UEFA Champions League,2024/2025
2677,VfB Stuttgart,vfb-stuttgart,https://api.sofascore.app/api/v1/team/2677/image,UEFA Champions League,2024/2025
6226,FK Dečić Tuzi,fk-decic-tuzi,https://api.sofascore.app/api/v1/team/6226/image,UEFA Champions League,2024/2025
1715,Stade Brestois,stade-brestois,https://api.sofascore.app/api/v1/team/1715/image,UEFA Champions League,2024/2025
